transaction_id,customer_id,merchant_id,transaction_time,is_fraudulent,card_type,location,purchase_category,transaction_description,amount_robust,customer_age_robust
1,1082,2027,2023-01-01 00:00:00,No,MasterCard,City-30,Gas Station,Purchase at Merchant-2027,0.1609055092426941,-0.038461538461538464
2,1015,2053,2023-01-01 00:00:01,Yes,Visa,City-47,Online Shopping,Purchase at Merchant-2053,-0.6015658513538358,0.6538461538461539
4,1095,2037,2023-01-01 00:00:03,Yes,Discover,City-6,Travel,Purchase at Merchant-2037,0.5286878359384729,0.5769230769230769
5,1036,2083,2023-01-01 00:00:04,Yes,MasterCard,City-34,Retail,Purchase at Merchant-2083,-0.603831304770697,-0.3076923076923077
6,1032,2021,2023-01-01 00:00:05,Yes,American Express,City-1,Gas Station,Purchase at Merchant-2021,0.7004016929618728,-0.038461538461538464
7,1029,2033,2023-01-01 00:00:06,Yes,Visa,City-7,Online Shopping,Purchase at Merchant-2033,0.5180623454361788,-0.9615384615384616
8,1018,2088,2023-01-01 00:00:07,No,American Express,City-46,Travel,Purchase at Merchant-2088,-0.5257897951800798,-0.15384615384615385
9,1095,2077,2023-01-01 00:00:08,No,American Express,City-45,Groceries,Purchase at Merchant-2077,-0.19608329593819626,-0.038461538461538464
10,1014,2031,2023-01-01 00:00:09,No,Visa,City-25,Restaurant,Purchase at Merchant-2031,0.6755647324649755,0.4230769230769231
11,1087,2052,2023-01-01 00:00:10,Yes,MasterCard,City-29,Retail,Purchase at Merchant-2052,-0.3895166439660064,1.0
12,1095,2031,2023-01-01 00:00:11,No,Discover,City-45,Travel,Purchase at Merchant-2031,-0.16129692266026707,-0.6538461538461539
14,1012,2020,2023-01-01 00:00:13,Yes,Visa,City-19,Gas Station,Purchase at Merchant-2020,-0.5444669364388101,-0.38461538461538464
15,1076,2025,2023-01-01 00:00:14,Yes,MasterCard,City-13,Retail,Purchase at Merchant-2025,-0.4799054677291499,-0.11538461538461539
16,1055,2004,2023-01-01 00:00:15,Yes,Discover,City-25,Retail,Purchase at Merchant-2004,-0.29464633425519765,-0.9615384615384616
17,1005,2032,2023-01-01 00:00:16,Yes,Visa,City-4,Online Shopping,Purchase at Merchant-2032,-0.5000079073417691,-0.11538461538461539
19,1012,2060,2023-01-01 00:00:18,Yes,Visa,City-35,Travel,Purchase at Merchant-2060,0.783227144322825,0.6923076923076923
20,1028,2063,2023-01-01 00:00:19,Yes,Discover,City-40,Groceries,Purchase at Merchant-2063,0.37438001498441265,0.0
21,1030,2072,2023-01-01 00:00:20,Yes,MasterCard,City-1,Groceries,Purchase at Merchant-2072,-0.41967326863809884,0.5
22,1065,2056,2023-01-01 00:00:21,No,MasterCard,City-38,Retail,Purchase at Merchant-2056,-0.6570220160163208,-0.15384615384615385
24,1004,2083,2023-01-01 00:00:23,Yes,Discover,City-22,Retail,Purchase at Merchant-2083,-6.820082275896142e-05,0.2692307692307692
25,1072,2005,2023-01-01 00:00:24,No,Visa,City-39,Groceries,Purchase at Merchant-2005,0.8071962740605583,-0.6153846153846154
27,1092,2021,2023-01-01 00:00:26,No,Visa,City-29,Restaurant,Purchase at Merchant-2021,0.516805078094884,-0.8076923076923077
28,1084,2035,2023-01-01 00:00:27,Yes,American Express,City-7,Groceries,Purchase at Merchant-2035,-0.12611913596476498,0.038461538461538464
29,1090,2018,2023-01-01 00:00:28,Yes,American Express,City-17,Groceries,Purchase at Merchant-2018,0.3556277539788754,0.8076923076923077
